en	bg
The heat of the sun drives our weather, but water creates its many different faces.	Топлината на Слънцето е двигателя на климата, но водата обуславя разнообразието му.
I'm Donal Maclntyre.	Аз съм Доналд Макинтайър.
I'm about to follow water's journey around the planet from the oceans to the clouds, from a storm to a flood, because I want to experience the awesome power it can unleash.	Ще проследя движението на водата около планетата – от океаните до облаците, от бурите до наводненията, защото искам да усетя страховитата й мощ.
I'll meet people who've been at the mercy of some of the wettest, wildest weather on Earth.	Ще се срещна с хора, които са били по най-мокрите и диви места на Земята.
This is..."Wild Weather"!	Това е ..."Дивият климат".
We live on a water planet.	Живеем на водна планета.
70 per cent of the surface is water.	70% от повърхността й е под водата.
Every living thing, including us, is made of it.	Всяко живо същество, включително и ние, сме изградени от вода.
Right now there are twelve thousand billion tonnes of it, literally hanging above our heads.	Сега има 12 000 милиарда тона вода, буквално над главите ни.
And it's this that fuels the world's weather.	И това е "горивото" на планетарния климат.
Divide it by the amount of people who live on the planet - this is how much each single one of us would have.	Разделено на броя на хората на планетата - това се пада на всеки един от нас.
A cube of water measuring 46 metres high, wide and deep.	Куб вода, 46м дълъг, широк и висок.
The same water we bathe in, we drink or flush away.	Това е същата вода, в която се къпем и която пием.
It's the same water that rains on us, that forms the hurricanes and the monsoons.	Това е водата, която вали отгоре ни, от която се раждат бурите и мусоните.
It's the same water that's been here since Earth was formed.	Това е водата от времето на образуването на Земята.
All things being equal, this would be your share of the weather.	При равни други условия, това би било вашето "парченце" от климата.
This is the same water that fell as rain before life itself began.	Това е същата вода, която е падала като дъжд преди появата на живота.
By now it has probably circled the planet over 8,000,000 times.	Досега вероятно е обиколила Земята повече от 8 000 000 пъти.
I'll follow the cycle your bit of water takes around the world.	А аз ще проследя кръгчето, което вашата вода прави около света.
Along the way, we'll see how it transforms itself into every kind of weather on the planet.	По пътя ще видим как се се променя под влиянието на различните климатични особености.
I'm going to start my journey with water in the wettest place in Western Europe	Започваме пътешествието си от най-важното място в западна Европа
- Bergen, city of rain on Norway's western coast.	- Берген, дъждовен град на западния бряг на Норвегия.
It rains here two out of every three days.	Тук вали през два от всеки три дена.
What's the one thing you need in a city like this?	И какво ви трябва в град като този?
Umbrellas, lots of them.	Чадъри, много чадъри.
We have umbrellas for little rain, a lot of rain and storms.	Имаме чадъри за леко преваляване, силен дъжд и бури.
- For every occasion? - Y"es."	- За всеки възможен случай
This city is so proud of its rain they can it and sell it to tourists because they've lots of it.	Този град толкова се гордее с дъжда си, че го бутилира и продава на многото туристи.
To give you an idea.	Само за да получите бегла идея:
If I stood here every day and night for the next 16 years, I couldn't capture the volume of water that falls on this city in a single year.	Ако съм тук денонощно през следващите 16 години, покрай мен няма да се излее количеството вода, което вали над Берген за една-единствена година.
400,000 Olympic-size swimming pools of water drench this place annually.	400 000 басейна с олимпийски размери се изливат годишно върху това място.
Crashing down on the roof of the average family house every month is a staggering 18 tonnes of rain, that's 225 tonnes a year.	Всеки месец върху покрива на една къща се изливат 18 тона, което прави 225 тона годишно.
This place is seriously wet.	Това място е наистина мокро!
Devious tactics have to be employed by weather forecasters to keep the people happy. Enter the blonde.	Необходим е подход в работата на метеоролозите, за да не се депресират хората.
This is TV2, Bergen's local TV station.	Гледате TV2, местната телевизия на Берген.
Benedikte Rasmussen has the unenviable job of presenting the weather.	Бенедикте Расмусен има незавидната работа да обявява прогнозата за времето.
It's not that difficult.	Не е кой знае колко трудно.
When the meteorologist says something long and difficult, it's probably just going to rain.	Когато метеорологът говори нещо засукано, чисто и просто явно ще вали.
The longest period of rain was in 1990.	Най-дълго продължилият дъжд е бил през 1990.
I know because I've checked.	Знам, защото го проверих.
It rained from the 3rd of January to the 26th of March that year.	Валяло е от 3 януари до 26 март.
That's about 83 days.	Точно 83 дена.
I think I was quite fed up of rain after those days.	Направо ми беше писнало от дъжд!
Prediction is a fine art.	Прогнозите са изкуство.
Benedikte, what's happening here?	Бенедикте, какво е това?
We're seeing how the weather will be in the days ahead.	Гледаме прогнозата за идните дни.
How's it looking for Bergen?	И какво ще бъде времето в Берген?
I'm not sure, I think a little rain but not too bad.	Не съм сигурна, но най-вероятно е леко да превали.
How are these maps created?	Как се правят тези карти?
I don't knowl	Не знам
Benedikte knows only slightly more about meteorology than I do, but the ratings show that her glowing smile and confident presentation keeps the audience happy and willing to receive the somewhat familiar weather forecasts.	Бенедикте разбира от метеорология съвсем малко повече от мен, но рейтингът показва, че блестящата й усмивка и уверен говор са приятни за зрителите и те гледат така или иначе еднообразните прогнози.
So why is this place so wet?	Защо е толкова мокро тук?
Daily, warm moist air flows in from the Atlantic, hits the surrounding coastal mountains and is forced up.	През деня от Атлантическия океан нахлува влажен въздух достига крайбрежните планини и бива изтикан нагоре.
As it rises, it cools, and the result is rain, tonnes of it.	С издигането си той се охлажда и резултатът е дъжд, тонове дъжд.
Right this second, 18 million tonnes worth of rain are falling somewhere on the planet.	В този момент 18 милиона тона дъжд падат по планетата.
If all this rain from the rooftops is going to join it, there is only one way it can go, into the rivers.	Всичката тази вода може да отиде само на едно място – в реките.
Yesterday, what's cascading around me now was a rain shower in Bergen.	Това, което виждате около мен сега, вчера беше дъжд в Берген.
Before that, it could have been a monsoon rain cloud in India or a cup of tea from the Ritz!	Преди това може би е било облак, влачен от мусон в Индия или чаша чай в Риц!
Today it's a river in Norway.	Днес, това е река в Норвегия.
By tomorrow, it will have joined the North Sea.	Утре вече ще е част от Северно море.
After that, who knows where or what it will next become.	А след това никой не знае къде и какво ще е.
The water on our planet connects us all in truly remarkable ways.	Водата на планетата ни обвързва по наистина забележителни начини.
All this water racing out into the North Sea is about to join a vast weather-making ocean current.	Всичката тази вода, вливаща се в Северно море ще стане част от огромно океанско течение, формиращо климата.
I'll follow it to see some of the wettest, wildest weather on Earth.	Ще го проследим и ще посетим едни от най-мокрите и диви места на Земята.
In order to see where this current starts, I have to travel north of Bergen.	За да разберем къде започва това течение ще трябва да отидем на север от Берген.
There are many ocean currents that move water around our planet, but there's one, a master current out in the North Atlantic, that's the drive belt of our weather systems.	Съществуват много течения, пренасящи водата по планетата, но в северната част на Атлантическия океан е най-голямото и важно. Това е основата на нашия климат.
It's called the Thermohaline Conveyor.	Наричаме го Температурен Конвейер.
Every ocean in the world is connected by it.	Всеки океан на планетата е свързан към него.
It's a 70,000-mile round trip that takes about 1,000 years to complete.	Дълъг е над 100 000 км и водата прави пълна обиколка за около 1000 години.
In that time, the water could have been part of every kind of weather in Scotland or on the Serengeti.	През този период водата става част от всеки климат, било то в Шотландия, или в Серенгети.
It takes a phenomenal amount of energy to drive this massive engine, the Thermohaline Conveyor.	Нужно е огромно количество енергия за задвижването на тази огромна "машина"
What turns it on, what kick starts it?	Какво я движи, какво я е започнало?
To see for myself how it works, I have to get under the ice.	За да видим как работи, трябва да се спуснем под леда.
The secret lies in when this ocean turns to ice.	Тайната е в замръзването на океанската вода.
At minus two degree Celsius, sea water begins to freeze.	При минус 2 градуса, морската вода започва да замръзва.
But this ice is made of fresh water, as salt doesn't freeze and is locked out in the process.	Но ледът не е солен, защото солта не замръзва и остава свободна.
This water is very salty, which makes it heavier, so it sinks.	Тази вода е много солена, по-тежка, и затова потъва.
As these billions of tonnes of cold, salty water fall, they begin to flow south.	И тези милиарди тонове студена солена вода потичат на юг.
This sucks the warmer tropical waters up north to replace them.	Това засмуква топлата тропическа вода на север да заеме мястото на студената.
This action drives a permanent ocean cycle.	Така се затваря един голям воден кръг.
From here, the route it takes is truly global.	Оттук нататък всичко придобива планетарен мащаб.
As the cold waters plunge to the depths of the ocean, they flow along the bottom and then around the Horn of Africa.	Студената вода се спуска в дълбините на океана, и тече по дъното покрай нос Хорн в Африка.
After about 500 years, it begins to warm up.	След около 500 години започва да се затопля.
The Conveyor's first stop is in the Indian Ocean, and, much later, in the Pacific Ocean, where the whole system then curves around and the cycle repeats itself.	Първата "спирка" на Конвейера е в Индийския океан, а след това, след много време, в Тихия океан, където прави завой и кръгът се затваря.
It's hard to imagine that the next time anyone sees the water I'm swimming in will be when it rises as a warm current and laps a beach in India.	Трудно е да си представи човек, че следващия път, когато човек види водата, в която плувам, ще бъде, когато се издига затоплена някъде по бреговете на Индия.
After a 6,000-mile journey within the Conveyor, the water that fell as rain in Bergen over 500 years ago is about to become part of the biggest rainstorm on the planet.	След 10 000 км с Конвейера, дъждът от Берген преди 500 години ще стане част от една от най-големите бури на планетата.
India hasn't seen a drop of rain for months.	В Индия не е валяло от месеци.
Life is almost unbearable.	Животът е непоносим.
Well, almost!	Е, почти!
But the monsoon is on its way.	Но мусоните са по пътя си.
Every summer around June 6th, regular as clockwork, these clouds sweep in from the Indian Ocean bringing life and death in their wake.	Всяко лято, около 6-ти юни, като по часовник, тези облаци се появяват от Индийския океан, носейки живот и смърт.
How it works is remarkably simple.	Схемата е удивително проста.
For most of the year, the prevailing winds come from the north.	През по-голямата част от годината ветровете са от север.
Then, as summer heats up the country, massive columns of hot air begin to rise and, as they do, they suck in cooler moist air from the sea.	А когато лятото започне да затопля земята огромни стълбове топъл въздух започват да се издигат и по този начин се засмуква хладен влажен въздух от морето.
When these moist clouds break over land, you get the fury of the monsoon downpour.	Когато тези влажни облаци стигнат земята сме свидетели на мусонните порои.
That cloud there is the beginning of the monsoon.	Онзи облак е началото на мусоните.
To see what's going on up there, I'm going to take a closer look.	За да видим какво точно става ще се приближим.
I'm about to do something never done before in the monsoon.	Ще направя нещо, никога правено досега в мусон.
I'm going to go up and experience the hot, humid monsoon winds.	Ще се издигна, за да усетя горещите влажни мусонни ветрове.
